razao	cliente	bairro	cidade	uf	pre	logradouro	numero	cep	endereco	Latitude	Longitude	Endereco Formatado
A & A  A Eletr e A Hidr Ltda Epp	A & A  a Eletr e A Hidr Ltda EPP	Pinheiros	São Paulo	SP	R	Dos Pinheiros	1409	5422012	R. Dos Pinheiros, 1409 - Pinheiros, São Paulo - São Paulo, Brasil	-23,5681632	-46,6913416	R. dos Pinheiros, 1409 - Pinheiros, São Paulo - SP, 05422-012, Brazil
A & A Ferragem Ltda	A & A Ferragem	Mares	Salvador	BA	R	Barão de Cotegipe	273/75	40445001	R. Barão de Cotegipe, 273/75 - Mares, Salvador - Salvador, Brasil	-12,9384008	-38,5051283	Rua Barão de Cotegipe, 273 - Mares, Salvador - BA, Brazil
A & C Material de Construção Ltda Me	A & C Mat Constr	Pq. Veiga Jardim	Aparecida de Goiânia	GO	Al	Dna Rosalina M Veiga	Sn	74980970	Al. Dna Rosalina M Veiga, Sn - Pq. Veiga Jardim, Aparecida de Goiânia - Aparecida de Goiânia, Brasil			
A A Menegusso & Cia Ltda EPP	A A Menegusso & Cia	Santa Felicidade	Curitiba	PR	R	Edson Campos Matesich 	351	82410370	R. Edson Campos Matesich , 351 - Santa Felicidade, Curitiba - Curitiba, Brasil	-25,3823794	-49,3267365	Rua Édson Campos Matesich, 351 - Santa Felicidade, Curitiba - PR, 82410-370, Brazil
A B de Oliveira ME	A B de Oliveira ME	Centro	Capão Bonito	SP	Av	Ovidio Tristão de Lima Júnior	23	18300190	Av. Ovidio Tristão de Lima Júnior, 23 - Centro, Capão Bonito - Capão Bonito, Brasil	-24,0032253	-48,3562347	Av. Ovídio Tristão de Lima Júnior, 23 - Centro, Capão Bonito - SP, 18300-190, Brazil
A Benitez & Cano Ltda ME	A Benitez & Cano	Centro	São Jorge do Patrocínio	PR	R	José H Visconcini	209	87555000	R. José H Visconcini, 209 - Centro, São Jorge do Patrocínio - São Jorge do Patrocínio, Brasil	-23,7627312	-53,8776535	R. José Hermínio Visconcini, 209, São Jorge do Patrocínio - PR, 87555-000, Brazil
A C Giamassi ME	A C Giamassi	Sao Jerônimo	Americana	SP	R	Júlio Justi	181	13469730	R. Júlio Justi, 181 - Sao Jerônimo, Americana - Americana, Brasil	-22,7145969	-47,3643672	R. Júlio Juste, 181 - Parque São Jerônimo, Americana - SP, 13469-730, Brazil
A C Lins Materiais de Construção ME	A C Lins Mat Construção	Jd. das Araucarias 2	Castro	PR	R	Caetano Ribeiro de Moraes	377	84174520	R. Caetano Ribeiro de Moraes, 377 - Jd. das Araucarias 2, Castro - Castro, Brasil	-24,809165	-49,9945903	R. Caetano Ribeiro de Morães, 2 - Jardim das Araucarias, Castro - PR, 84174-520, Brazil
A C Rankel EPP	A C Rankel EPP	Centro	Guaira	PR	Av	Marcelino Rolon	292	85980000	Av. Marcelino Rolon, 292 - Centro, Guaira - Guaira, Brasil	-24,0834846	-54,2570151	Av. Marcelino Rolon, 292, Guaíra - PR, 85980-000, Brazil
A Centro Oeste Tubos e Conexões Ltda Epp	A Centro Oeste Tubos e Conexões	Jundiai.	Anápolis	GO	Av	Mato Grosso	1115	75094030	Av. Mato Grosso, 1115 - Jundiai., Anápolis - Anápolis, Brasil	-16,325489	-48,9361056	Av. Mato Grosso, 1115 - Jundiaí, Anápolis - GO, 75094-030, Brazil
